sampleID,chloride_ppm,sulfate_ppm
CoBRA2022-4,12625.617,1859.26
CoBRA2022-5,13542.46,2005.841
CoBRA2022-6,4414.128,95.45
CoBRA2022-7,5927.53,123.666
CoBRA2022-10,4494.35,146.246
CoBRA2022-11,4898.911,168.069
CoBRA2022-13,5993.367,456.685
CoBRA2022-14,4136.696,1004.298
CoBRA2022-15,7986.753,1240.836
CoBRA2022-16,7940.124,1210.644
CoBRA2022-17,8118.693,1245.122
CoBRA2022-18,7171.195,1108.985
CoBRA2022-19,7302.779,1110.507
CoBRA2022-20,92.359,NA
CoBRA2022-21,83.381,NA
CoBRA2022-22,50.39,NA
CoBRA2022-23,71.352,NA
CoBRA2022-24,46.243,NA
CoBRA2022-25,72.224,NA
CoBRA2022-26,40.976,NA
CoBRA2022-27,93.755,43.957
CoBRA2022-28,71.513,44.458
CoBRA2022-29,111.029,NA
CoBRA2022-30,130.32,NA
CoBRA2022-31,67.942,NA
CoBRA2022-32,72.542,1.288
CoBRA2022-33,60.191,53.105
CoBRA2022-34,49.253,56.706
