SampleID,subsample,parameter,result,SD
CoBRA2022_4,B,chloride,12625.617,NA
CoBRA2022_5,B,chloride,13542.46,NA
CoBRA2022_6,B,chloride,4414.128,12.162
CoBRA2022_7,B,chloride,5927.53,NA
CoBRA2022_10,B,chloride,4494.35,96.983
CoBRA2022_11,B,chloride,4898.911,194.548
CoBRA2022_13,B,chloride,5993.367,NA
CoBRA2022_14,B,chloride,4136.696,NA
CoBRA2022_15,B,chloride,7986.753,NA
CoBRA2022_16,B,chloride,7940.124,NA
CoBRA2022_17,B,chloride,8118.693,NA
CoBRA2022_18,B,chloride,7171.195,NA
CoBRA2022_19,B,chloride,7302.779,NA
CoBRA2022_20,B,chloride,92.359,3.945
CoBRA2022_21,B,chloride,83.381,2.732
CoBRA2022_22,B,chloride,50.39,3.306
CoBRA2022_23,B,chloride,71.352,3.931
CoBRA2022_24,B,chloride,46.243,3.161
CoBRA2022_25,B,chloride,72.224,4.883
CoBRA2022_26,B,chloride,40.976,2.623
CoBRA2022_27,B,chloride,93.755,4.82
CoBRA2022_28,B,chloride,71.513,1.37
CoBRA2022_29,B,chloride,111.029,12.382
CoBRA2022_30,B,chloride,130.32,9.426
CoBRA2022_31,B,chloride,67.942,4.184
CoBRA2022_32,B,chloride,72.542,NA
CoBRA2022_33,B,chloride,60.191,NA
CoBRA2022_34,B,chloride,49.253,NA
CoBRA2022_4,B,sulfate,1859.26,NA
CoBRA2022_5,B,sulfate,2005.841,NA
CoBRA2022_6,B,sulfate,95.45,NA
CoBRA2022_7,B,sulfate,123.666,NA
CoBRA2022_10,B,sulfate,146.246,NA
CoBRA2022_11,B,sulfate,168.069,NA
CoBRA2022_13,B,sulfate,456.685,NA
CoBRA2022_14,B,sulfate,1004.298,NA
CoBRA2022_15,B,sulfate,1240.836,NA
CoBRA2022_16,B,sulfate,1210.644,NA
CoBRA2022_17,B,sulfate,1245.122,NA
CoBRA2022_18,B,sulfate,1108.985,NA
CoBRA2022_19,B,sulfate,1110.507,NA
CoBRA2022_20,B,sulfate,NA,NA
CoBRA2022_21,B,sulfate,NA,NA
CoBRA2022_22,B,sulfate,NA,NA
CoBRA2022_23,B,sulfate,NA,NA
CoBRA2022_24,B,sulfate,NA,NA
CoBRA2022_25,B,sulfate,NA,NA
CoBRA2022_26,B,sulfate,NA,NA
CoBRA2022_27,B,sulfate,43.957,3.561
CoBRA2022_28,B,sulfate,44.458,1.471
CoBRA2022_29,B,sulfate,NA,NA
CoBRA2022_30,B,sulfate,NA,NA
CoBRA2022_31,B,sulfate,NA,NA
CoBRA2022_32,B,sulfate,1.288,NA
CoBRA2022_33,B,sulfate,53.105,NA
CoBRA2022_34,B,sulfate,56.706,NA
