SampleID,Date,Time,Area,Site,Plot,plotID,subsamples,depth_cm,pH,SpC_mScm,ORP_mV,temp_degC,comments
CoBRA2023-1,2/1/23,14:00,WLD,Young,1,WLD-Y1,A-F,10,,,,,
CoBRA2023-2,2/2/23,15:00,WLD,Young,2,WLD-Y2,A-F,10,,,,,
CoBRA2023-3,2/3/23,16:00,WLD,Young,3,WLD-Y3,A-F,20,,,,,
CoBRA2023-4,2/4/23,17:00,WLD,Young,4,WLD-Y4,A-F,20,,,,,
CoBRA2023-5,2/5/23,18:00,WLD,Young,5,WLD-Y5,A-F,10,,,,,
CoBRA2023-6,2/6/23,19:00,WLD,Young,6,WLD-Y6,A-F,0,,,,,
CoBRA2023-7,2/7/23,20:00,WLD,Old,1,WLD-O1,A-F,10,,,,,
CoBRA2023-8,2/8/23,21:00,WLD,Old,2,WLD-O2,A-F,10,,,,,
CoBRA2023-9,2/9/23,22:00,WLD,Old,3,WLD-O3,A-F,20,,,,,
CoBRA2023-10,2/10/23,23:00,WLD,Old,4,WLD-O4,A-F,30,,,,,
CoBRA2023-11,2/11/23,00:00,WLD,Old,5,WLD-O5,A-F,10,,,,,
CoBRA2023-12,2/12/23,01:00,WLD,Old,6,WLD-O6,A-F,10,,,,,
CoBRA2023-13,2/13/23,02:00,TB,Freshwater,1,TB-F1,A-F,0,,,,,
CoBRA2023-14,2/14/23,03:00,TB,Brackish,1,TB-B1,A-F,10,,,,,
CoBRA2023-15,2/15/23,04:00,TB,Saline,1,TB-S1,A-F,10,,,,,
